,0
0,Adana
1,Adıyaman
2,Afyonkarahisar
3,Ağrı
4,Amasya
5,Ankara
6,Antalya
7,Artvin
8,Aydın
9,Balıkesir
10,Bilecik
11,Bingöl
12,Bitlis
13,Bolu
14,Burdur
15,Bursa
16,Çanakkale
17,Çankırı
18,Çorum
19,Denizli
20,Diyarbakır
21,Edirne
22,Elazığ
23,Erzincan
24,Erzurum
25,Eskişehir
26,Gaziantep
27,Gümüşhane
28,Hakkari
29,Hatay
30,Isparta
31,Mersin
32,Izmir
33,Kars
34,Kastamonu
35,Kayseri
36,Kırklareli
37,Kırşehir
38,Kocaeli
39,Konya
40,Kütahya
41,Malatya
42,Manisa
43,Kahramanmaraş
44,Mardin
45,Muğla
46,Muş
47,Nevşehir
48,Niğde
49,Ordu
50,Rize
51,Sakarya
52,Samsun
53,Siirt
54,Sinop
55,Sivas
56,Tokat
57,Trabzon
58,Tunceli
59,Şanlıurfa
60,Uşak
61,Van
62,Yozgat
63,Zonguldak
64,Aksaray
65,Bayburt
66,Karaman
67,Kırıkkale
68,Batman
69,Şırnak
70,Bartın
71,Ardahan
72,Iğdır
73,Yalova
74,Karabük
75,Kilis
76,Osmaniye
77,Düzce
